1. Hafenstraße,1,15,1,Harburg,16,Heimfeld,Harburg,21079
1. Hafenstraße,2,14,2,Harburg,16,Heimfeld,Harburg,21079
2. Hafenstraße,11,15,1,Harburg,16,Heimfeld,Harburg,21079
2. Hafenstraße,4,6,2,Harburg,16,Heimfeld,Harburg,21079
Aalheitengraben,1,3,1,Alstertal - Walddörfer,13,Volksdorf,Wandsbek,22359
Aalheitengraben,4,14,2,Alstertal - Walddörfer,13,Volksdorf,Wandsbek,22359
Aalkrautweg,2,58,2,Alstertal - Walddörfer,13,Sasel,Wandsbek,22395
Aalkrautweg,1,35a,1,Alstertal - Walddörfer,13,Sasel,Wandsbek,22395
Aalort,4,12a,2,Alstertal - Walddörfer,13,Sasel,Wandsbek,22393
Aalort,1,13,1,Alstertal - Walddörfer,13,Sasel,Wandsbek,22393
Aalwisch,2,20,2,Alstertal - Walddörfer,13,Bergstedt,Wandsbek,22395
Aalwisch,1a,23a,1,Alstertal - Walddörfer,13,Bergstedt,Wandsbek,22395
Aalwischkoppel,1a,15b,1,Alstertal - Walddörfer,13,Bergstedt,Wandsbek,22395
Aalwischkoppel,2a,24,2,Alstertal - Walddörfer,13,Bergstedt,Wandsbek,22395
Abbestraße,14,50,2,Altona,3,Ottensen,Altona,22765
Abbestraße,15,35,1,Altona,3,Ottensen,Altona,22765
ABC-Straße,1,52,3,Hamburg-Mitte,1,Neustadt,Hamburg-Mitte,20354
Abelke-Bleken-Ring,2a,44,2,Bergedorf,15,Ochsenwerder,Bergedorf,21037
Abelke-Bleken-Ring,1,49b,1,Bergedorf,15,Ochsenwerder,Bergedorf,21037
Abelskamp,1,15,1,Alstertal - Walddörfer,13,Duvenstedt,Wandsbek,22397
Abelskamp,2,16,2,Alstertal - Walddörfer,13,Duvenstedt,Wandsbek,22397
Abendrothsweg,20,80,2,Eppendorf – Winterhude – Hoheluft-Ost,8,Hoheluft-Ost,Hamburg-Nord,20251
Abendrothsweg,15,73,1,Eppendorf – Winterhude – Hoheluft-Ost,8,Hoheluft-Ost,Hamburg-Nord,20251
Abrahamstraße,2,36,2,Rahlstedt,14,Rahlstedt,Wandsbek,22145
Abrahamstraße,1,43,1,Rahlstedt,14,Rahlstedt,Wandsbek,22145
Abteistraße,2,38,2,Rotherbaum - Harvestehude - Eimsbüttel-Ost,5,Harvestehude,Eimsbüttel,20149
Abteistraße,1,59,1,Rotherbaum - Harvestehude - Eimsbüttel-Ost,5,Harvestehude,Eimsbüttel,20149
Achter Billing,1,35,1,Alstertal - Walddörfer,13,Poppenbüttel,Wandsbek,22399
Achter Billing,2,36,2,Alstertal - Walddörfer,13,Poppenbüttel,Wandsbek,22399
Achter de Höf,1,21,1,Altona-West,4,Rissen,Altona,22559
Achter de Höf,4,16c,2,Altona-West,4,Rissen,Altona,22559
Achter de Kark,2,26,2,Bergedorf,15,Bergedorf,Bergedorf,21035
Achter de Kark,1,51a,1,Bergedorf,15,Bergedorf,Bergedorf,21035
Achter de Wisch,5,59,1,Bergedorf,15,Neuengamme,Bergedorf,21039
Achter de Wisch,10,48,2,Bergedorf,15,Neuengamme,Bergedorf,21039
Achter Lüttmoor,2a,62,2,Altona-West,4,Rissen,Altona,22559
Achter Lüttmoor,1,63,1,Altona-West,4,Rissen,Altona,22559
Achterdwars,7,31,1,Bergedorf,15,Bergedorf,Bergedorf,21035
Achterdwars,8,34,2,Bergedorf,15,Bergedorf,Bergedorf,21035
Achterkamp,18,18,2,Harburg,16,Rönneburg,Harburg,21079
Achtern Barls,6,14,3,Altona-West,4,Lurup,Altona,22549
Achtern Born,4,94,2,Altona-West,4,Osdorf,Altona,22549
Achtern Born,1,135,1,Altona-West,4,Osdorf,Altona,22549
Achtern Brack,6,18b,2,Süderelbe,17,Francop,Harburg,21129
Achtern Hoff,1,7,1,Alstertal - Walddörfer,13,Volksdorf,Wandsbek,22359
Achtern Hoff,2,6,2,Alstertal - Walddörfer,13,Volksdorf,Wandsbek,22359
Achtern Hollerbusch,1,77a,1,Alstertal - Walddörfer,13,Sasel,Wandsbek,22393
Achtern Hollerbusch,4,70,2,Alstertal - Walddörfer,13,Sasel,Wandsbek,22393
Achtern Moor,1,15,3,Altona-West,4,Lurup,Altona,22549
Achtern Sand,9,41,1,Altona-West,4,Rissen,Altona,22559
Achtern Sand,16,48,2,Altona-West,4,Rissen,Altona,22559
Achtern Styg,1,75,1,Altona-West,4,Lurup,Altona,22549
Achtern Styg,2,72b,2,Altona,3,Bahrenfeld,Altona,22549
Achterschlag,61,181a,1,Bergedorf,15,Curslack,Bergedorf,21039
Achterschlag,2,6,2,Bergedorf,15,Bergedorf,Bergedorf,21039
Achterschlag,24,160c,2,Bergedorf,15,Curslack,Bergedorf,21039
Achterschlag,1,39,1,Bergedorf,15,Bergedorf,Bergedorf,21039
Ackermannstraße,9,37,1,Barmbek - Uhlenhorst - Dulsberg,9,Hohenfelde,Hamburg-Nord,22087
Ackermannstraße,8,38,2,Barmbek - Uhlenhorst - Dulsberg,9,Hohenfelde,Hamburg-Nord,22087
Ackerstieg,2,24c,2,Altona-West,4,Lurup,Altona,22547
Ackerstieg,1,23,1,Altona-West,4,Lurup,Altona,22547
Ackerweg,1,1,1,Süderelbe,17,Neugraben-Fischbek,Harburg,21147
Adalbert-Stifter-Weg,2,4c,2,Rahlstedt,14,Rahlstedt,Wandsbek,22149
Adalbert-Stifter-Weg,1,1a,1,Rahlstedt,14,Rahlstedt,Wandsbek,22149
Adalbertstraße,6,24,2,Altona-West,4,Osdorf,Altona,22609
Adalbertstraße,1,15,1,Altona-West,4,Osdorf,Altona,22609
Adebarweg,3,111,1,Altona-West,4,Rissen,Altona,22559
Adebarweg,2,120,2,Altona-West,4,Rissen,Altona,22559
Adenauerallee,1,80,3,Hamburg-Mitte,1,St. Georg,Hamburg-Mitte,20097
Adickesstraße,1,45,1,Altona-West,4,Groß Flottbek,Altona,22607
